kanji,memorized,onyomi_1,onyomi_ex_1,onyomi_on_1,onyomi_2,onyomi_ex_2,onyomi_on_2,kunyomi_1,kunyomi_ex_1,kunyomi_on_1
助,0,ジョ,コーチが助言を言う,1,,,,たすけ‐る,山田さんは助けに入ったが、トイレに行きたくなってトイレに行った。,1
行,0,ギョウ,行列,1,コウ,試合を見るためにスペインに旅行に行く,1,おこな‐う,サッカーの試合を行う。,1
通,0,ツウ,通行止め,1,,,,かよ‐う,学校に通う,1
着,0,チャク,新しい服をし着してみる,1,,,,き‐る,友だちが、服を着る。,1
進,0,シン,いのししがとっ進してくる。,1,,,,すす‐む,赤しんごうなのに、進んでいる。,1
動,0,,,1,,,,うご‐く,体育のじゅぎょうで体を動かす,1
面,0,メン,おまつりでか面をかぶる,1,,,,,,1
味,1,ミ,意味が分からない,1,,,,あじ,あじの味を楽しむ。,1
湖,1,,,1,,,,みずうみ,湖に人がポカーンとうかんでいる,1
題,0,ダイ,国語の題名が、なんかへん。,1,,,,,,1
発,0,ハツ,ポケカの発売日に７時に行ったら、ぜんぶ売り切れていた。,1,,,,,,1
洋,0,ヨウ,じみな洋服,1,,,,,,1
服,1,フク,じみな洋服,1,,,,,,1
所,0,ショ,マックの場所を調べる,1,,,,,,1
表,1,ヒョウ,表情が悪い友だち,1,,,,あらわ‐す,意味を表す,1
速,0,ソク,時速１００キロ,1,,,,はや‐い,足の速さではまけない,1
定,0,テイ,限定のグッズ,1,,,,さだ‐める,ねらいを定めたら、変な方にいった。,1
送,0,ソウ,委員長（いいんちょう）がきゅう食の時間に放送する。,1,,,,おく‐る,外国に行く友達を見送る。,1
住,0,ジュウ,住民（みん）の人とお話する。,1,,,,す‐む,スペインに住む,1
具,1,グ,絵の具でアートをする,1,,,,,,1
拾,0,,,1,,,,ひろ‐う,1万円を拾う。,1
坂,0,,,1,,,,さか,自てん車でのぼり坂を進む。,1
悲,0,ヒ,きゅうに親が悲めいをだす。,1,,,,かな‐しい,悲しい人を見つけた。,1
感,0,カン,試合で勝って感げきする。,1,,,,,,1
対,0,タイ,ワールドカップの対戦（せん）あいて,1,,,,,,1
